mentor,co_author,num1,db_teahcer,num2
范维澄,"韩雪峰,刘奕,范维澄,乔晗,许伟,翁文国,王俊艳,张一民,朱达人,李晶晶,申世飞",11,"范维澄,申世飞,翁文国",3
郝吉明,"程真,薛志刚,许嘉钰,谭吉华,马永亮,彭艳春,杨永,崔翔宇,田贺忠,王建昕,赵大庆,陆永琪,段雷,祝晓燕,吕子峰,徐康富,陈阳,田贺中,武金宝,吴烨,吴文景,常新莲,张楚莹,周中平,陈景欢,刘敏,林缨,王仁虎,傅慧静,陆永祺,邢佳,郭兴明,李琪琳,阿庆兴,朱永青,于超,赵瑜,麦华俊,姚小红,程玲琳,黎维彬,柯锐,陈瑶晟,程轲,黄正宏,齐超龙,贺克斌,窦红颖,傅立新,孙庆贺,李国文,李林,赵喆,叶雪梅,王延吉,张鹤清,张磊,常诚,王丽涛,郝吉明,杨柳,李俊华,朱天乐,周学龙,李继,常兴,余学春,刘凡岩,马红,何正旭,韩浩玉,王雪纯,王书肖,李伟,王龙,徐瑾,宋少洁,杨志山,晁红勋,卜天琪,肖建华,尹寒卉,沈旻嘉,崔平,赵郁超,靳腾,陈强,胡京南,刘遥,胡洪营,康飞宇,刘阳,何东全,魏丽斯,罗传奎,闫小光,刘志明,魏铁军,蒋靖坤,刘海静,陈建军,武山",102,"赵大庆,胡洪营,王书肖,康飞宇,黄正宏,吴烨,许嘉钰,贺克斌,段雷,郝吉明,蒋靖坤,邢佳,傅立新,陈强,黎维彬,马永亮,王建昕,李俊华,陈建军,张磊",20
柳百成,"金平,张新平,梁吉,李德华,闻星火,刘艳改,霍亮,吴勤芳,王哲,唐宁,朱维,谭利坚,袁烺,熊守美,李文胜,石玉峰,贾宝仟,方能炜,赵红兆,张然,吴德海,张光跃,程建国,康进武,孙立斌,梁作俭,罗筠,程万里,李忠林,许庆彦,周进,胡永沂,贾良容,马长文,邱伟,王柯,王罡,张卫善,李培锋,沈厚发,杨文,王东涛,潘冬,裴清祥,程军,陈瑞,龚铭,郭会廷,孙力,叶小刚,柳百成,董树勇,王镭,荆涛,赵代平,白天申,闫学伟,李金玺,吴亮,陈驾宇,贾良荣,李永保,李文珍,张卓其,冯伟明,刘祥德,曹海峰,袁新,闫焉服,张家锋,白雪峰,张雷,沈丙振,刘志勇,张焕鑫,张希俊,刘蔚羽,黄天佑,缪家明",79,"康进武,金平,袁新,许庆彦,周进,柳百成,荆涛,王罡,王哲,沈厚发,熊守美,李文珍,张雷",13
贺克斌,"郭景海,何晓朗,申现宝,解明曙,程远,王新彤,贾英韬,张良平,时宗波,张英志,陈雁菊,刘欢,谭吉华,段凤魁,范学钢,刘炳江,李政,万奇,马永亮,高彦芳,李英红,唐嘉平,刘启才,沈岩,袁敬,晁红勋,杨龙,姚志良,王丽涛,郝吉明,李锋亮,王鼎益,常诚,张迪瀚,彭立群,郭涛,毛其智,李俊华,赵晴,赖鑫,秦颖超,霍红,陈旭,冯柳青,苏昕,李继,周中平,陆永琪,帅石金,胡东成,段雷,周雪明,余学春,陆化普,姚崇兰,常青,黎维彬,刘辉,杨复沫,项萍,石晓燕,刘阳,王书肖,何东全,张洁,徐康富,陈亮,杨宏伟,黄霞,吴烨,贺克斌,王歧东,刘斐,贾英涛,傅立新,左剑恶,戴文楠,王岐东,李海蓉",79,"王书肖,黄霞,吴烨,帅石金,贺克斌,刘欢,郝吉明,李锋亮,段雷,陆化普,常青,傅立新,李政,李俊华,马永亮,黎维彬,左剑恶",17
聂建国,"柏宇,谭英,黄远,王锁军,钱稼茹,陈宇,王宇航,吴洪,荆建梅,周天然,聂鑫,赵洁,王挺,吴丽丽,张天申,陈林,易卫华,陶巍,李远明,樊健生,卜凡民,李法雄,陈必磊,周慧,任宝双,王宗纲,陈戈,左莹,高璀旭,黄亮,李建军,王元清,樊键生,李绍敬,祝刚,王寒冰,徐睿立,朱林森,聂建国,刁谡,樊建生,潘年,徐桂根,孙传伟,张眉河,张晓光,丁然,沈聚敏,廖彦波,李全旺,陶慕轩,朱红超,李华,李红有,李泉",55,"谭英,樊健生,陈宇,李全旺,聂鑫,陶慕轩,聂建国,王元清",8
钱易,"刘恒,梁鹏,李锐,施汉昌,徐农,王玉珏,钱易,付莉燕,李汝琪,金冬霞,汪诚文,宋保栋,席劲瑛,吕秋丽,盛建武,单立志,何嘉汉,邢传宏,张悦,韩力平,何苗,郭斌,王慧,张锡辉,董春宏,张辉明,杨琦,余若祯,刘广立,张淼,喻国策,常皛宇,孔波,文湘华,黄俊,冯叶成,柳萍,杨宁,郭洁菡,藤本真由美,冀静平,周晓燕,周平,占新民,王建龙,刘若鹏,陈方荣,杜鹏飞,杜文涛,李东锋,王东海,吕萍萍,孟耀斌,田文华,胡洪营,周律,李翠珍,黄霞,景永强,邢传红,高大文,王凤芹,桂萍,余少青,林刚,刘超翔,常玉,陈吕军,姜健,王小毛,朱洪博,余刚,胡林林,顾夏声,何大江",75,"胡洪营,文湘华,黄俊,周律,梁鹏,黄霞,王玉珏,何苗,王慧,钱易,张锡辉,陈吕军,杜鹏飞,汪诚文,余刚,席劲瑛",16
倪维斗,"寇可新,黄仙,付峰,黄杰鹏,郑洪韬,何建坤,鄂春盛,陈昌和,李政,白泉,叶海文,韩吉,周喆,黄河,郑重,王天骄,王云波,李定凯,刘建江,李东海,张希良,吕俊复,冯文,麻林巍,张勇,陶岩,郭霞,霍福鹏,孙红,刘宇,郑洪弢,高健,郑显玉,蒋东翔,韦思亮,王惺,张鹤丹,徐向东,韩志明,王静贻,冯静,何芬,刘炳刚,汤健仁,江宁,崔大龙,夏朝阳,孙昕,彭容,张寒,郑洪弿,曹江,艾春慧,肖小清,王中泽,周明,陈贞,焦树建,刘广建,王德惠,江亿,苟建兵,胡姗,黄以腾,杨志伟,王民汉,靳晖,李德英,汪健,王淑娟,高琪瑞,倪维斗,刘尚明,潘玲颖,李宇红,薛亚丽,王德慧,杨艳萍,张昊志,任挺进,张春,王风雨,刘文宇,许兆峰",84,"任挺进,李东海,江亿,王淑娟,麻林巍,高琪瑞,倪维斗,刘尚明,张春,李宇红,薛亚丽,李政,周明,蒋东翔,吕俊复,许兆峰",16
程京,"衣光舜,张亮,张坚,孙宝全,程京,荆高山,陈德朴,许俊泉,周玉祥",9,"程京,荆高山",2
韩英铎,"沈斐,刘文华,胡志祥,赵正毅,张力,柳勇军,薛巍,张树卿,张秀娟,曹建中,刘炳,白玮,谢小荣,于松泰,马维新,沈东,陆超,王晓波,韩英铎,宋强,张春朋,齐国光,崔文进,魏念荣,唐志,何学农,魏应冬,李立理,陈建业,杨代铭,英雨,韩郁,王仲鸿,周正,夏祖华,李永东,孙元章,王强,梁旭,王娅岚,胡东成,丁仁杰,童诗白,舒继武,童陆园,黄瀚,马晓军,冯庚烈,赵良炳,秦荃华,李函,袁志昌,涂国煜,黄眉,禹华军,唐义良,石钧,于庆广,段刚,陆凯捷,王心丰,杨潮,祁达才,卢强,闵勇,陈远华,姜齐荣",67,"王强,舒继武,薛巍,韩英铎,卢强",5
蒋洪德,"何皑,陈海燕,蒋洪德,张珊珊,谢法,李宇红,刘洋,刘丙权",8,"刘洋,蒋洪德,李宇红",3
